Institution,Machine,Acquisition,Analysis,Beam Name,Baseline Acquisition,Baseline Analysis,Axial Symmetry,Transverse Symmetry,Flatness,Profile Constancy,Baseline Designation,Top CU,Bottom CU,Left CU,Right CU,Center CU,Baseline Top CU,Baseline Bottom CU,Baseline Left CU,Baseline Right CU,Baseline Center CU,Type,Collimator,EPID,URL,Uploaded By,Pixel Rows,Pixel Columns,Pixel size X,Pixel size Y,KVP,Exposure Time msec,Meterset Exposure,Start Cumulative Meterset Wt,X-Ray Origin X,X-Ray Origin Y,X-Ray Origin Z,Source to Image,Source to Isocenter,Gantry Angle,Collimator Angle,End Cumulative Meterset Wt,Operator,Software Version,SOPInstanceUID,SeriesInstanceUID,PatientID,PatientName
INST___1,MACH_43,2019-04-10T08:23:08,2019-05-22T18:24:47,J18G0-10F,2019-04-10T08:23:08,2019-05-22T18:24:47,0.7018594831606919,0.002085098778386289,18.687512850170236,0.0,implicit,15.664781423553091,15.555602949092064,15.650765546451865,15.651091880373082,22.705686292814075,15.664781423553091,15.555602949092064,15.650765546451865,15.651091880373082,22.705686292814075,TrueBeam 2,HD,On-Board Imager 40x40cm,https://localhost:9443/view/ViewOutput?outputPK=1022,USER___2,1190,1190,0.335999995470047,0.335999995470047,10000.0,1441,49.99687957763672,1.7448219296056777E-5,3.953447157982737E-4,-0.005575283896178007,-499.9726257324219,1499.97265625,1000.0,360.0,359.9995422363281,0.9999550580978394,OperatorsName_1872,0,1.3.6.1.4.1.22361.48658618118952.675367149.1554931181686.16,1.3.6.1.4.1.22361.48658618118952.675367149.1554931181686.2,0,PatientName_1873,
INST___1,MACH_43,2019-04-10T08:23:08,2019-05-22T18:24:47,J18G90,2019-04-10T08:23:08,2019-05-22T18:24:47,0.3530710978278414,-0.5030095793892203,1.867158150816534,0.0,implicit,22.542374004499166,22.463063419876843,22.62079131850366,22.50700657123794,23.317865770779733,22.542374004499166,22.463063419876843,22.62079131850366,22.50700657123794,23.317865770779733,TrueBeam 2,HD,On-Board Imager 40x40cm,https://localhost:9443/view/ViewOutput?outputPK=1022,USER___2,1190,1190,0.335999995470047,0.335999995470047,6000.0,5153,50.004493713378906,5.433273145172279E-6,-0.0013771092053502798,0.016132764518260956,-499.9661560058594,1499.9661865234375,1000.0,89.99834442138672,359.99951171875,1.0000953674316406,OperatorsName_1872,0,1.3.6.1.4.1.22361.48658618118952.675367149.1554931181686.11,1.3.6.1.4.1.22361.48658618118952.675367149.1554931181686.2,0,PatientName_1873,
INST___1,MACH_43,2019-04-10T08:23:08,2019-05-22T18:24:47,J18G0-6F,2019-04-10T08:23:08,2019-05-22T18:24:47,1.0323061974711143,0.028754470790495285,11.098579681041329,0.0,implicit,18.655625898718267,18.465010451464114,18.61642233707021,18.62177539079336,23.07540675495561,18.655625898718267,18.465010451464114,18.61642233707021,18.62177539079336,23.07540675495561,TrueBeam 2,HD,On-Board Imager 40x40cm,https://localhost:9443/view/ViewOutput?outputPK=1022,USER___2,1190,1190,0.335999995470047,0.335999995470047,6000.0,2293,50.02449417114258,1.0745338840933982E-5,3.953447157982737E-4,-0.005575283896178007,-499.99542236328125,1499.995361328125,1000.0,360.0,359.9995422363281,1.0005006790161133,OperatorsName_1872,0,1.3.6.1.4.1.22361.48658618118952.675367149.1554931181686.8,1.3.6.1.4.1.22361.48658618118952.675367149.1554931181686.2,0,PatientName_1873,
INST___1,MACH_43,2019-04-10T08:23:08,2019-05-22T18:24:47,J18G270,2019-04-10T08:23:08,2019-05-22T18:24:47,0.4079084687630084,-0.3037698958975673,1.8619047803875188,0.0,implicit,22.555957160757778,22.464323283633536,22.600583872251157,22.531930102150177,23.316722768591323,22.555957160757778,22.464323283633536,22.600583872251157,22.531930102150177,23.316722768591323,TrueBeam 2,HD,On-Board Imager 40x40cm,https://localhost:9443/view/ViewOutput?outputPK=1022,USER___2,1190,1190,0.335999995470047,0.335999995470047,6000.0,5152,50.0080451965332,5.791390776721528E-6,0.001331975101493299,-0.011264454573392868,-500.03472900390625,1500.03466796875,1000.0,269.9950256347656,359.9995422363281,1.0001667737960815,OperatorsName_1872,0,1.3.6.1.4.1.22361.48658618118952.675367149.1554931181686.25,1.3.6.1.4.1.22361.48658618118952.675367149.1554931181686.2,0,PatientName_1873,
INST___1,MACH_43,2019-04-10T08:23:08,2019-05-22T18:24:47,J18G180,2019-04-10T08:23:08,2019-05-22T18:24:47,0.362902490558125,-0.3357908783081171,1.8281002454300328,0.0,implicit,22.55673837233753,22.475175401049814,22.595960636508686,22.520085461825197,23.312214793573734,22.55673837233753,22.475175401049814,22.595960636508686,22.520085461825197,23.312214793573734,TrueBeam 2,HD,On-Board Imager 40x40cm,https://localhost:9443/view/ViewOutput?outputPK=1022,USER___2,1190,1190,0.335999995470047,0.335999995470047,6000.0,5152,50.00495147705078,5.334029083314817E-6,0.001712548197247088,-0.0026386675890535116,-499.9874267578125,1499.9874267578125,1000.0,179.99668884277344,359.99951171875,1.0001044273376465,OperatorsName_1872,0,1.3.6.1.4.1.22361.48658618118952.675367149.1554931181686.22,1.3.6.1.4.1.22361.48658618118952.675367149.1554931181686.2,0,PatientName_1873
INST___1,MACH_46,2019-05-05T12:03:51,2019-05-23T17:36:07,J18G0-6X,2019-05-05T12:03:51,2019-05-23T17:36:07,0.0020212329775684827,-0.41538922127642813,1.9603982094183219,0.0,implicit,0.22284530676032033,0.22284080262853012,0.22438915631830736,0.223457067949248,0.23175264442469456,0.22284530676032033,0.22284080262853012,0.22438915631830736,0.223457067949248,0.23175264442469456,TrueBeam 2,Millenium,On-Board Imager 40x40cm,https://localhost:9443/view/ViewOutput?outputPK=1026,USER___2,1190,1190,0.335999995470047,0.335999995470047,6000.0,5152,50.00619888305664,9.79078595264582E-6,0.0016563874669373035,-0.0023374701850116253,-499.9847412109375,1499.9847412109375,1000.0,0.019900497049093246,359.9997253417969,1.000133752822876,OperatorsName_2150,0,1.3.6.1.4.1.22361.48658618118952.1956846574.1557515030562.18,1.3.6.1.4.1.22361.48658618118952.1956846574.1557515030562.2,0,PatientName_2151,
INST___1,MACH_46,2019-05-05T12:03:51,2019-05-23T17:36:07,Flood 6X,2019-05-05T12:03:51,2019-05-23T17:36:07,0.028090571785336704,-0.45589330919561566,2.063052298117954,0.0,implicit,0.8988869122775306,0.8986344807136379,0.9229629980740143,0.9187552715194436,0.9364941439787752,0.8988869122775306,0.8986344807136379,0.9229629980740143,0.9187552715194436,0.9364941439787752,TrueBeam 2,Millenium,On-Board Imager 40x40cm,https://localhost:9443/view/ViewOutput?outputPK=1026,USER___2,1190,1190,0.335999995470047,0.335999995470047,6000.0,20157,200.00106811523438,2.3527607027062913E-6,0.0016563874669373035,-0.0023374701850116253,-499.9847412109375,1499.9847412109375,1000.0,0.019900497049093246,359.9997253417969,1.0000076293945312,OperatorsName_2150,0,1.3.6.1.4.1.22361.48658618118952.1956846574.1557515030562.16,1.3.6.1.4.1.22361.48658618118952.1956846574.1557515030562.2,0,PatientName_2151,
INST___1,MACH_46,2019-05-05T12:03:51,2019-05-23T17:36:07,J18G0-10F,2019-05-05T12:03:51,2019-05-23T17:36:07,-0.8216596462862831,0.46941126386698606,19.297261143530083,0.0,implicit,0.1538189231832911,0.15509326193068462,0.1545941233384863,0.15531980556671357,0.22737984494490973,0.1538189231832911,0.15509326193068462,0.1545941233384863,0.15531980556671357,0.22737984494490973,TrueBeam 2,Millenium,On-Board Imager 40x40cm,https://localhost:9443/view/ViewOutput?outputPK=1026,USER___2,1190,1190,0.335999995470047,0.335999995470047,10000.0,1441,49.98884582519531,2.3262073227670044E-5,0.0016563874669373035,-0.0023374701850116253,-499.9847412109375,1499.9847412109375,1000.0,0.019900497049093246,359.9997253417969,0.9998001456260681,OperatorsName_2150,0,1.3.6.1.4.1.22361.48658618118952.1956846574.1557515030562.23,1.3.6.1.4.1.22361.48658618118952.1956846574.1557515030562.2,0,PatientName_2151,
INST___1,MACH_46,2019-05-05T12:03:51,2019-05-23T17:36:07,J18G90,2019-05-05T12:03:51,2019-05-23T17:36:07,0.03760471937357073,-0.5608774511781502,1.9495300925838406,0.0,implicit,0.2229109669926398,0.22282717345937234,0.22453602437860729,0.2232766524480958,0.23168808520236825,0.2229109669926398,0.22282717345937234,0.22453602437860729,0.2232766524480958,0.23168808520236825,TrueBeam 2,Millenium,On-Board Imager 40x40cm,https://localhost:9443/view/ViewOutput?outputPK=1026,USER___2,1190,1190,0.335999995470047,0.335999995470047,6000.0,5154,50.01359558105469,9.506770766165573E-6,-2.651933755259961E-4,0.020577240735292435,-499.98162841796875,1499.9815673828125,1000.0,90.01658630371094,359.99969482421875,1.0002814531326294,OperatorsName_2150,0,1.3.6.1.4.1.22361.48658618118952.1956846574.1557515030562.12,1.3.6.1.4.1.22361.48658618118952.1956846574.1557515030562.2,0,PatientName_2151,
INST___1,MACH_46,2019-05-05T12:03:51,2019-05-23T17:36:07,J18G0-6F,2019-05-05T12:03:51,2019-05-23T17:36:07,-0.29780015919282743,0.21704171592949695,10.977650571157758,0.0,implicit,0.18201531775959245,0.18255897868874835,0.1828487195564011,0.18324557755488144,0.22690518125527973,0.18201531775959245,0.18255897868874835,0.1828487195564011,0.18324557755488144,0.22690518125527973,TrueBeam 2,Millenium,On-Board Imager 40x40cm,https://localhost:9443/view/ViewOutput?outputPK=1026,USER___2,1190,1190,0.335999995470047,0.335999995470047,6000.0,2359,50.01877975463867,1.7359172488795593E-5,-0.0010280789574608207,-0.0023374701850116253,-499.9847412109375,1499.9847412109375,1000.0,0.019900497049093246,359.9997253417969,1.000393033027649,OperatorsName_2150,0,1.3.6.1.4.1.22361.48658618118952.1956846574.1557515030562.14,1.3.6.1.4.1.22361.48658618118952.1956846574.1557515030562.2,0,PatientName_2151,
