Winston-Lutz Field Data,Data Date: 2024-10-15 17:47:43,Analysis Date: 2024-10-15 17:55:17
machine id,field name,status,table yaw,gantry angle,coll angle,X offset corrected box-ball,Y offset corrected box-ball,XY offset corrected,X box center corrected,Y box center corrected,X tongue and groove correction,Y tongue and groove correction,X ball center,Y ball center,box left uncorrected,box right uncorrected,box top uncorrected,box bottom uncorrected,X box center uncorrected,Y box center uncorrected,Patient ID,Patient Name,Instance (slice) UID,Series UID
TB5,G180 C000 0:00,Passed,359.958984375,179.996680587388,359.999768940853,-0.1876854049284713,0.10910533342567064,0.21709395432644135,15.51287497633996,15.217222201445983,0.000000000000,0.000000000000,15.700560381268431,15.108116868020312,5.5078552491801895,25.51789470349973,5.55691236728067,24.877532035611292,15.51287497633996,15.217222201445981,QASRSWL2,$QASRS-TX5^Winston-Lutz,1.2.246.352.62.1.5501163403191641537.5185906158874397588,1.2.246.352.62.2.5591855550814472668.16651016134416038585
TB5,G180 C090 0:21,Passed,359.958984375,179.996680587388,89.9999459676893,-0.3502978541337658,0.04979789802514567,0.3538197524989862,15.146842426946192,15.622398930717344,0.000000000000,0.000000000000,15.497140281079957,15.572601032692198,5.49146301291425,24.802221840978135,5.61505719259198,25.629740668842707,15.146842426946192,15.622398930717344,QASRSWL2,$QASRS-TX5^Winston-Lutz,1.2.246.352.62.1.5022932505202810736.18176117736826310311,1.2.246.352.62.2.5591855550814472668.16651016134416038585
TB5,G090 C090 0:46,Passed,359.958984375,90.0614084904886,89.999963741468,-0.09536502757031862,-0.19835043311669232,0.22008494451249286,15.167889048010691,15.682631419125366,0.000000000000,0.000000000000,15.26325407558101,15.880981852242058,5.546450968270005,24.789327127751378,5.676253720260324,25.68900911799041,15.167889048010691,15.682631419125366,QASRSWL2,$QASRS-TX5^Winston-Lutz,1.2.246.352.62.1.5215168229937650413.11559825400615409804,1.2.246.352.62.2.5591855550814472668.16651016134416038585
TB5,G000 C090 1:11,Passed,359.958984375,359.960167411348,89.9998837594636,0.38258601462345965,-0.43706776351631227,0.5808616775882302,15.215030521131649,15.596115865923275,0.000000000000,0.000000000000,14.832444506508189,16.033183629439588,5.5925303800588475,24.83753066220445,5.583558515960108,25.60867321588644,15.215030521131649,15.596115865923274,QASRSWL2,$QASRS-TX5^Winston-Lutz,1.2.246.352.62.1.5122434876230622122.12908282298789640859,1.2.246.352.62.2.5591855550814472668.16651016134416038585
TB5,G270 C090 1:35,Passed,359.958984375,269.938591443683,89.9998126643486,0.025618068247379,-0.17734869486842264,0.17918941093786833,15.11554358126108,15.55701576570618,0.000000000000,0.000000000000,15.089925513013702,15.734364460574602,5.485911165404692,24.745175997117467,5.560027239286328,25.55400429212603,15.115543581261079,15.55701576570618,QASRSWL2,$QASRS-TX5^Winston-Lutz,1.2.246.352.62.1.5151400910807266628.984014451812874905,1.2.246.352.62.2.5591855550814472668.16651016134416038585
TB5,G270 C270 1:56,Passed,359.958984375,269.991701518,270.000071806043,0.17823995336537912,0.10489169922503372,0.20681332051395399,15.275461915905499,15.60339728737714,0.000000000000,0.000000000000,15.09722196254012,15.498505588152106,5.641413452969447,24.90951037884155,5.613094931679319,25.593699643074963,15.275461915905499,15.603397287377142,QASRSWL2,$QASRS-TX5^Winston-Lutz,1.2.246.352.62.1.5594146986960155985.3615940627330091690,1.2.246.352.62.2.5591855550814472668.16651016134416038585
TB5,G000 C270 2:28,Passed,359.958984375,359.9999995,270.000080692932,0.43473286841373415,-0.19503638340127694,0.4764786015441648,15.283118002012928,15.626288539616324,0.000000000000,0.000000000000,14.848385133599194,15.8213249230176,5.649949442980898,24.91628656104496,5.628474092030794,25.62410298720185,15.283118002012928,15.626288539616322,QASRSWL2,$QASRS-TX5^Winston-Lutz,1.2.246.352.62.1.4653000383632170084.12792974839094954936,1.2.246.352.62.2.5591855550814472668.16651016134416038585
TB5,G090 C270 2:58,Passed,359.958984375,90.03485345333,270.000080692932,0.04733887707174844,0.051362850925194437,0.06985063877716408,15.07836483648751,15.446225244415904,0.000000000000,0.000000000000,15.03102595941576,15.39486239349071,5.446452816189783,24.710276856785235,5.46579255225143,25.42665793658038,15.07836483648751,15.446225244415904,QASRSWL2,$QASRS-TX5^Winston-Lutz,1.2.246.352.62.1.5466850920194951903.16537438642280104085,1.2.246.352.62.2.5591855550814472668.16651016134416038585
TB5,G180 C270 3:24,Passed,359.958984375,180.003319346678,270.000080692932,-0.16097999105025096,0.29329838700769884,0.33457211679973686,15.073613453275607,15.617132709738456,0.000000000000,0.000000000000,15.234593444325858,15.323834322730757,5.445889439947485,24.70133746660373,5.6323041650804155,25.601961254396496,15.073613453275607,15.617132709738456,QASRSWL2,$QASRS-TX5^Winston-Lutz,1.2.246.352.62.1.5479858720157641572.17315255651440607106,1.2.246.352.62.2.5591855550814472668.16651016134416038585
TB5,G180 C270 4:15,Passed,89.95703125,180.003319346678,270.000080692932,0.4681272934150531,0.2174563840696564,0.5161690050872418,15.071180567536437,15.614592522469833,0.000000000000,0.000000000000,14.603053274121384,15.397136138400176,5.4443105445701745,24.6980505905027,5.631686330679512,25.597498714260155,15.071180567536437,15.614592522469835,QASRSWL2,$QASRS-TX5^Winston-Lutz,1.2.246.352.62.1.4796884726310680617.10944648517499340976,1.2.246.352.62.2.5591855550814472668.16651016134416038585
